[GIN] 2022/11/25 - 10:53:14 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:14 | 200 |       886.3µs |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:14 | 200 |      2.0597ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:15 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:15 | 200 |      1.4055ms |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:19 | 200 |      1.8446ms |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:24 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:24 | 200 |       734.8µs |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:29 | 200 |       824.3µs |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:34 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/light/7"
